Fecha,Hora,VMAX_m_s,T0,Tm,rm_km,re_km,Pico_lluvia_mm_h
2008-09-03 03:00:00,733654.1250000005,13.302769008350426,0.7660553801670085,1.8651384504175212,27.339446198329917,56.00916929749487,1.8542126428744343
2008-09-03 06:00:00,733654.2500000005,13.895858925401878,0.7779171785080377,1.8947929462700939,27.220828214919624,55.83124232237944,1.888508801597541
2008-09-03 09:00:00,733654.3750000005,13.553098273394495,0.7710619654678899,1.8776549136697247,27.2893803453211,55.93407051798165,1.8686644559605947
2008-09-03 12:00:00,733654.5000000005,14.84664242646722,0.7969328485293444,1.942332121323361,27.030671514706555,55.54600727205983,1.9410388184152256
2008-09-03 15:00:00,733654.6250000005,16.134514462737723,0.8226902892547545,2.0067257231368862,26.773097107452454,55.159645661178686,1.9960376606846961
2008-09-03 18:00:00,733654.7500000005,18.94992203989353,0.8789984407978706,2.1474961019946766,26.210015592021293,54.31502338803194,2.1404856028523813
2008-09-03 21:00:00,733654.8750000005,21.900148037117052,0.938002960742341,2.2950074018558526,25.61997039257659,53.429955588864885,2.27596423998078
2008-09-04 00:00:00,733655.0000000005,25.318318000967334,1.0063663600193467,2.465915900048367,24.93633639980653,52.4045045997098,2.4599790064633393
2008-09-04 03:00:00,733655.1250000005,28.80076032272884,1.076015206454577,2.640038016136442,24.239847935454232,51.35977190318135,2.6284434268191723
2008-09-04 06:00:00,733655.2500000005,31.273225743259417,1.1254645148651883,2.7636612871629707,23.745354851348118,50.618032277022174,2.7465273030940804
2008-09-04 09:00:00,733655.3750000005,30.26660525223087,1.1053321050446174,2.7133302626115436,23.946678949553824,50.920018424330735,2.7072905424862475
2008-09-04 12:00:00,733655.5000000005,29.111471930048662,1.0822294386009732,2.655573596502433,24.177705613990266,51.266558420985405,2.647923786798806
2008-09-04 15:00:00,733655.6250000005,28.512549704597788,1.0702509940919558,2.6256274852298898,24.29749005908044,51.44623508862067,2.6104344524238923
2008-09-04 18:00:00,733655.7500000005,28.133840773220513,1.0626768154644104,2.6066920386610257,24.373231845355896,51.55984776803385,2.5868587002697017
2008-09-04 21:00:00,733655.8750000005,28.23726367578376,1.0647452735156753,2.611863183789188,24.35254726484325,51.52882089726487,2.59328720244272
2008-09-05 00:00:00,733656.0000000005,28.765507431677747,1.075310148633555,2.6382753715838874,24.24689851366445,51.37034777049668,2.6262375084918386
2008-09-05 03:00:00,733656.1250000005,28.39550093709045,1.067910018741809,2.6197750468545227,24.32089981258191,51.48134971887286,2.603137178398045
2008-09-05 06:00:00,733656.2500000005,27.96030587006497,1.0592061174012994,2.5980152935032486,24.407938825987006,51.61190823898051,2.5760888185931656
2008-09-05 09:00:00,733656.3750000005,26.591761350527378,1.0318352270105475,2.529588067526369,24.681647729894525,52.02247159484179,2.5111292211406404
2008-09-05 12:00:00,733656.5000000005,25.441236878447935,1.0088247375689587,2.472061843922397,24.911752624310413,52.36762893646562,2.464948535574466
2008-09-05 15:00:00,733656.6250000005,25.163975724911655,1.0032795144982332,2.4581987862455827,24.96720485501767,52.450807282526505,2.4537293394431727
2008-09-05 18:00:00,733656.7500000005,24.065970840084812,0.9813194168016963,2.403298542004241,25.186805831983037,52.780208747974555,2.396289413561856
2008-09-05 21:00:00,733656.8750000005,24.120517921568428,0.9824103584313686,2.4060258960784218,25.175896415686314,52.76384462352947,2.3996225530076756
2008-09-06 00:00:00,733657.0000000005,24.20547936793696,0.9841095873587392,2.410273968396848,25.158904126412608,52.73835618961891,2.4048180576819442
2008-09-06 03:00:00,733657.1250000005,24.733641191843958,0.9946728238368792,2.436682059592198,25.05327176163121,52.57990764244681,2.436247180015961
2008-09-06 06:00:00,733657.2500000005,24.559298667897494,0.9911859733579499,2.4279649333948745,25.088140266420503,52.63221039963075,2.426505505331535
2008-09-06 09:00:00,733657.3750000005,23.468737514589108,0.9693747502917822,2.3734368757294555,25.306252497082177,52.95937874562327,2.3599214919471305
2008-09-06 12:00:00,733657.5000000005,23.554286760562096,0.9710857352112419,2.3777143380281047,25.28914264788758,52.933713971831374,2.365116770011981
2008-09-06 15:00:00,733657.6250000005,25.695671653000396,1.013913433060008,2.48478358265002,24.86086566939992,52.291298504099885,2.4752133349539838
2008-09-06 18:00:00,733657.7500000005,28.81221535626733,1.0762443071253465,2.6406107678133663,24.237556928746535,51.3563353931198,2.629160403326016
2008-09-06 21:00:00,733657.8750000005,28.67891755955348,1.0735783511910695,2.6339458779776743,24.264216488089303,51.396324732133955,2.6208229265371488
2008-09-07 00:00:00,733658.0000000005,28.322751737100706,1.066455034742014,2.6161375868550354,24.335449652579857,51.50317447886979,2.5986065162683394
2008-09-07 03:00:00,733658.1250000005,28.49120236390674,1.0698240472781348,2.624560118195337,24.30175952721865,51.452639290827975,2.6091028644875913
2008-09-07 06:00:00,733658.2500000005,28.000825499889093,1.0600165099977819,2.600041274994455,24.39983490002218,51.59975235003327,2.57860167995144
2008-09-07 09:00:00,733658.3750000005,27.717883833350925,1.0543576766670184,2.5858941916675464,24.456423233329815,51.68463484999472,2.5610783653626914
2008-09-07 12:00:00,733658.5000000005,27.29073304143988,1.0458146608287975,2.564536652071994,24.541853391712024,51.812780087568036,2.538887982451871
2008-09-07 15:00:00,733658.6250000005,26.399903697868186,1.0279980739573638,2.5199951848934097,24.720019260426362,52.08002889063955,2.503470415935582
2008-09-07 18:00:00,733658.7500000005,25.29546963057143,1.0059093926114286,2.464773481528572,24.940906073885714,52.41135911082857,2.4590545057817574
2008-09-07 21:00:00,733658.8750000005,27.235034537339086,1.0447006907467817,2.5617517268669543,24.552993092532184,51.82948963879828,2.5366842790782673
2008-09-08 00:00:00,733659.0000000005,28.82117707862212,1.0764235415724426,2.6410588539311064,24.235764584275575,51.353646876413364,2.629721386497037
2008-09-08 03:00:00,733659.1250000005,26.914442662238546,1.038288853244771,2.5457221331119273,24.61711146755229,51.92566720132844,2.523972157726988
